Date,Cases,Day,x1
Feb 15,0,1,1
Feb 16,0,2,1
Feb 17,0,3,1
Feb 18,0,4,1
Feb 19,0,5,1
Feb 20,0,6,1
Feb 21,0,7,1
Feb 22,0,8,1
Feb 23,0,9,1
Feb 24,0,10,1
Feb 25,0,11,1
Feb 26,0,12,1
Feb 27,0,13,1
Feb 28,0,14,1
Feb 29,0,15,1
Mar 01,0,16,1
Mar 02,0,17,1
Mar 03,0,18,1
Mar 04,0,19,1
Mar 05,0,20,1
Mar 06,0,21,1
Mar 07,0,22,1
Mar 08,0,23,1
Mar 09,0,24,1
Mar 10,0,25,1
Mar 11,0,26,1
Mar 12,1,27,1
Mar 13,1,28,1
Mar 14,0,29,1
Mar 15,0,30,1
Mar 16,0,31,1
Mar 17,1,32,1
Mar 18,0,33,1
Mar 19,1,34,1
Mar 20,1,35,1
Mar 21,0,36,1
Mar 22,2,37,1
Mar 23,3,38,1
Mar 24,0,39,1
Mar 25,2,40,1
Mar 26,8,41,1
Mar 27,0,42,1
Mar 28,4,43,1
Mar 29,3,44,1
Mar 30,5,45,1
Mar 31,3,46,1
Apr 01,23,47,1
Apr 02,14,48,1
Apr 03,14,49,1
Apr 04,13,50,1
Apr 05,19,51,1
Apr 06,18,52,1
Apr 07,24,53,1
Apr 08,18,54,1
Apr 09,49,55,1
Apr 10,22,56,1
Apr 11,39,57,1
Apr 12,43,58,1
Apr 13,27,59,1
Apr 14,35,60,1
Apr 15,29,61,1
Apr 16,26,62,1
Apr 17,38,63,1
Apr 18,35,64,1
Apr 19,38,65,1
Apr 20,33,66,1
Apr 21,53,67,1
Apr 22,36,68,1
Apr 23,40,69,1
Apr 24,59,70,1
Apr 25,45,71,1
Apr 26,56,72,1
Apr 27,58,73,1
Apr 28,69,74,1
Apr 29,71,75,1
Apr 30,75,76,1
May 01,69,77,1
May 02,100,78,1
May 03,68,79,1
May 04,175,80,1
May 05,127,81,1
May 06,92,82,1
May 07,104,83,1
May 08,96,84,1
May 09,116,85,1
May 10,111,86,1
May 11,82,87,1
May 12,121,88,1
May 13,136,89,1
May 14,98,90,1
May 15,104,91,1
May 16,118,92,1
May 17,154,93,1
May 18,131,94,1
May 19,146,95,1
May 20,132,96,1
May 21,150,97,1
May 22,142,98,1
May 23,142,99,1
May 24,156,100,1
May 25,148,101,1
May 26,172,102,1
May 27,190,103,1
May 28,177,104,1
May 29,269,105,1
May 30,205,106,1
May 31,223,107,1
Jun 01,200,108,1
Jun 02,221,109,1
Jun 03,259,110,1
Jun 04,275,111,1
Jun 05,286,112,1
Jun 06,297,113,1
Jun 07,261,114,1
Jun 08,266,115,1
Jun 09,246,116,1
Jun 10,388,117,1
Jun 11,394,118,1
Jun 12,389,119,1
Jun 13,309,120,1
Jun 14,321,121,1
Jun 15,395,122,1
Jun 16,2006,123,1
Jun 17,341,124,1
Jun 18,342,125,1
Jun 19,366,126,1
Jun 20,307,127,1
Jun 21,426,128,1
Jun 22,312,129,1
Jun 23,468,130,1
Jun 24,424,131,1
Jun 25,401,132,1
Jun 26,381,133,1
Jun 27,414,134,1
Jun 28,384,135,1
Jun 29,417,136,1
Jun 30,506,137,1
Jul 01,438,138,1
Jul 02,377,139,1
Jul 03,444,140,1
Jul 04,610,141,1
Jul 05,421,142,1
Jul 06,474,143,1
Jul 07,479,144,1
Jul 08,491,145,1
Jul 09,479,146,1
Jul 10,521,147,1
Jul 11,543,148,1
Jul 12,500,149,1
Jul 13,540,150,1
Jul 14,588,151,1
Jul 15,614,152,1
Jul 16,680,153,1
Jul 17,676,154,1
Jul 18,543,155,1
Jul 19,675,156,1
Jul 20,596,157,1
Jul 21,671,158,1
Jul 22,1120,159,1
Jul 23,755,160,1
Jul 24,761,161,1
Jul 25,690,162,1
Jul 26,716,163,1
Jul 27,636,164,1
Jul 28,776,165,1
Jul 29,779,166,1
Jul 30,783,167,1
Jul 31,765,168,1
Aug 01,852,169,1
Aug 02,758,170,1
Aug 03,810,171,1
Aug 04,849,172,1
Aug 05,919,173,1
Aug 06,899,174,1
Aug 07,940,175,1
Aug 08,875,176,1
Aug 09,1013,177,1
Aug 10,887,178,1
Aug 11,835,179,1
Aug 12,950,180,1
Aug 13,1006,181,1
Aug 14,990,182,1
Aug 15,950,183,1
Aug 16,961,184,1
Aug 17,880,185,1
Aug 18,1089,186,1
Aug 19,980,187,1
Aug 20,981,188,1
Aug 21,953,189,1
Aug 22,918,190,1
Aug 23,846,191,1
Aug 24,854,192,1
Aug 25,1066,193,1
Aug 26,1017,194,1
Aug 27,1065,195,1
Aug 28,1019,196,1
Aug 29,944,197,1
Aug 30,960,198,1
Aug 31,818,199,1
Sep 01,1025,200,1
Sep 02,1026,201,1
Sep 03,1083,202,1
Sep 04,1066,203,1
Sep 05,1044,204,1
Sep 06,1008,205,1
Sep 07,1129,206,1
Sep 08,1107,207,1
Sep 09,1168,208,1
Sep 10,1213,209,1
Sep 11,1202,210,1
Sep 12,1108,211,1
Sep 13,1140,212,1
Sep 14,1054,213,1
Sep 15,1283,214,1
Sep 16,1139,215,1
Sep 17,1174,216,1
Sep 18,1221,217,1
Sep 19,1149,218,1
Sep 20,1135,219,1
Sep 21,1056,220,1
Sep 22,1056,221,1
Sep 23,1152,222,1
Sep 24,1144,223,1
Sep 25,1093,224,1
Sep 26,1124,225,1
Sep 27,1040,226,1
Sep 28,777,227,1
Sep 29,1178,228,1
Sep 30,1179,229,1
Oct 01,1096,230,1
Oct 02,1071,231,1
Oct 03,937,232,1
Oct 04,902,233,1
Oct 05,886,234,1
Oct 06,991,235,1
Oct 07,963,236,1
Oct 08,967,237,1
Oct 09,929,238,1
Oct 10,921,239,1
Oct 11,813,240,1
Oct 12,710,241,1
Oct 13,723,242,1
Oct 14,694,243,1
Oct 15,835,244,1
Oct 16,886,245,1
Oct 17,1032,246,1
Oct 18,578,247,1
Oct 19,594,248,1
Oct 20,714,249,1
Oct 21,703,250,1
Oct 22,683,251,1
Oct 23,656,252,1
Oct 24,575,253,1
Oct 25,463,254,1
Oct 26,505,255,1
Oct 27,519,256,1
Oct 28,509,257,1
Oct 29,568,258,1
Oct 30,550,259,1
Oct 31,468,260,1
Nov 01,493,261,1
Nov 02,497,262,1
Nov 03,511,263,1
Nov 04,704,264,1
Nov 05,675,265,1
Nov 06,576,266,1
Nov 07,557,267,1
Nov 08,491,268,1
Nov 09,451,269,1
Nov 10,511,270,1
Nov 11,550,271,1
Nov 12,521,272,1
Nov 13,539,273,1
Nov 14,449,274,1
Nov 15,435,275,1
Nov 16,450,276,1
Nov 17,472,277,1
Nov 18,587,278,1
Nov 19,584,279,1
Nov 20,562,280,1
Nov 21,499,281,1
Nov 22,510,282,1
Nov 23,481,283,1
Nov 24,489,284,1
Nov 25,518,285,1
Nov 26,491,286,1
Nov 27,486,287,1
Nov 28,495,288,1
Nov 29,444,289,1
Nov 30,482,290,1
Dec 01,500,291,1
Dec 02,498,292,1
Dec 03,570,293,1
Dec 04,509,294,1
Dec 05,480,295,1
Dec 06,374,296,1
Dec 07,404,297,1
Dec 08,404,298,1
Dec 09,337,299,1
Dec 10,487,300,1
Dec 11,440,301,1
Dec 12,393,302,1
Dec 13,338,303,1
Dec 14,353,304,1
Dec 15,384,305,1
Dec 16,357,306,1
Dec 17,342,307,1
Dec 18,342,308,1
Dec 19,342,309,1
Dec 20,330,310,1
Dec 21,302,311,1
Dec 22,331,312,1
